,survived,pclass,age,sibsp,parch,fare,sex_female,sex_male,embarked_C,embarked_Q,embarked_S,class_First,class_Second,class_Third,who_child,who_man,who_woman,adult_male_False,adult_male_True,embark_town_Cherbourg,embark_town_Queenstown,embark_town_Southampton,alive_no,alive_yes,alone_False,alone_True
0,0,3,22.0,1,0,7.25,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0
1,1,1,38.0,1,0,71.2833,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0
2,1,3,26.0,0,0,7.925,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1
3,1,1,35.0,1,0,53.1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0
4,0,3,35.0,0,0,8.05,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
5,0,3,29.69911764705882,0,0,8.4583,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1
6,0,1,54.0,0,0,51.8625,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1
7,0,3,2.0,3,1,21.075,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0
8,1,3,27.0,0,2,11.1333,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0
9,1,2,14.0,1,0,30.0708,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0
10,1,3,4.0,1,1,16.7,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0
11,1,1,58.0,0,0,26.55,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1
12,0,3,20.0,0,0,8.05,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
13,0,3,39.0,1,5,31.275,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0
14,0,3,14.0,0,0,7.8542,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1
15,1,2,55.0,0,0,16.0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1
16,0,3,2.0,4,1,29.125,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0
17,1,2,29.69911764705882,0,0,13.0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1
18,0,3,31.0,1,0,18.0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0
19,1,3,29.69911764705882,0,0,7.225,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1
20,0,2,35.0,0,0,26.0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1
21,1,2,34.0,0,0,13.0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1
22,1,3,15.0,0,0,8.0292,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1
23,1,1,28.0,0,0,35.5,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1
24,0,3,8.0,3,1,21.075,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0
25,1,3,38.0,1,5,31.3875,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0
26,0,3,29.69911764705882,0,0,7.225,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1
